Artist,Style,Bio Link
Bakongo,Semba,@bakongo_dj
Black genuino,Kizomba/Semba,@blackgenuino_dj
David ruela,UrbanKiz/Salsa,@davidruela_dj
Diva,UrbanKiz/Entertainment,@diva_dj
Do zangado,Semba/AfroKiz,@dozangado_dj
Dwe dyson,UrbanKiz,@dwedyson_dj
Geppo,Semba/Salsa,@Geppo_dj
Geppo (shows),Semba/Entertainment,@Geppo_dj
Goldloxx,Entertainment,@goldloxx_dj
Ichigo,UrbanKiz/Konpa,@ichigo_dj
Ichigo b2b shark,UrbanKiz,@ichigo_dj
Jois,Social,@jois_dj
Joszi,UrbanKiz/Salsa,@joszi_dj
Leroy,Social,@leroy_dj
Lise,Terras/Social,@lise_dj
Marlas,Semba/Terras,@marlas_dj
Miro kikola,Semba/Entertainment,@mirokikola_dj
Miro kikola b2b sabura,Semba,@mirokikola_dj
Ms winner,UrbanKiz,@mswinner_dj
Nao,UrbanKiz/Konpa,@nao_dj
On fire,Semba/Salsa,@onfire_dj
Paraiso,UrbanKiz/Konpa,@paraiso_dj
Pingusso,UrbanKiz/Konpa,@pingusso_dj
Pingusso b2b paraiso,UrbanKiz,@pingusso_dj
Prime,Terras/Salsa,@prime_dj
Prime b2b waldemar muñoz,Salsa/Bachata,@prime_dj
Raxxx,UrbanKiz,@raxxx_dj
Sabura,Semba/Konpa,@sabura_dj
Savin,Social,@savin_dj
Savy,Social,@savy_dj
Shark,UrbanKiz/Konpa,@shark_dj
Stefanio lima,UrbanKiz/Salsa,@stefaniolima_dj
Stefanio lima (show),UrbanKiz/Entertainment,@stefaniolima_dj
Tray beatz,UrbanKiz/Entertainment,@traybeatz_dj
Waldemar muñoz,UrbanKiz/Salsa,@waldemarmunoz_dj
Zo zangado,Social,@sozangado_dj
Marten & Anna,UrbanKiz CreativeFun,@placeholder_dj
Portu & Mada,Play and Flow,@placeholder_dj
Sanzhar & Assiya,The Art of Fusion,@placeholder_dj
Ioury & Eden,,@placeholder_dj
Fernando Bum Bum & Michela,Kizomba Da Banda,@placeholder_dj
Nick & Alex,Lyrical Kiz,@placeholder_dj
Lilian & Ivana,UrbanKiz Tricks,@placeholder_dj
Gaby & Gaby,Technical Steps,@placeholder_dj
Chamalo & Jalyssa,Konpa,@placeholder_dj
Michael Daimon & Anika,Tarraxo,@placeholder_dj
Elhadj & Jenna,Semba Show,@placeholder_dj
Gwany,Tarraxo,@placeholder_dj
Stef & Sarah,Urban Kiz Elegance,@placeholder_dj
Melle & Rosan,Kiz'nafro,@placeholder_dj
Jesus & Anni,Masterclass,@placeholder_dj
Chamalo & Angola Terra,Kizomba,@placeholder_dj
Lilian & Ivana + Do Zangado,Afrokiz,@placeholder_dj
Stef & Sarah,Turns and Pivots,@placeholder_dj
DJ Nao,DJ Masterclass,@placeholder_dj
Moorea,Body Movement,@placeholder_dj
Tony Viser & Carla,Semba Footwork Technique,@placeholder_dj
Tresor & Aurea,Styling in Couple,@placeholder_dj
Angola Terra,Semba Footwork,@placeholder_dj
Ary & Maura,Semba,@placeholder_dj
Do Zangado,AfroKiz,@placeholder_dj
Dwe & Gaby,Masterclass,@placeholder_dj
